url,description
https://www.coches.net/bmw-z4-gasolina-2004-en-guipuzcoa-59721436-covo.aspx,"SE VENDE O SE CAMBIA BMW Z4 E82 INGLES CON VOLANTE A LA DERECHA, MATRICULADO EN ESPAÑA EL 3 DE ENERO 2025. MANUAL, EN BUEN ESTADO, PARA COGER Y ANDAR. NEUMATICOS NUEVOS, LLANTAS NUEVAS, 180.000 KM. CAPOTA ELECTRICA MUY COMODA Y FACIL DE USAR. NO ENTRA NI UNA GOTA DE AGUA. YO MISMO LO HE TRAIDO DE REINO UNIDO Y LO HE MATRICULADO. DUERME EN GARAJE. NO TIENE NI UN SOLO ARAÑAZO. ASIENTOS DE CUERO NEGRO. SE ACEPTA CAMBIO POR; BMW E46 TOURING, AUDI TDI, A4, FAMILIAR, FR, SEAT LEON, E36, 320D, 330D, VIVARO, CAMPER, FURGONETA, ETC
SE ESCUCHAN OFERTAS. ATIENDO WHATSAPP. URGE VENTA POR ESO ESTE PRECIO. NO BAJO MAS"
https://www.coches.net/bmw-z4-gasolina-2004-en-baleares-60429519-covo.aspx,Vendo BMW z4 2004
https://www.coches.net/bmw-z4-gasolina-2008-en-las_palmas-60322308-covo.aspx,Coche volante derecha en proceso matriculación .
https://www.coches.net/bmw-z4-gasolina-2004-en-baleares-60807316-covo.aspx,ITV hasta 09/25
https://www.coches.net/bmw-z4-gasolina-2007-en-baleares-60178320-covo.aspx,"Documentación en regla, siempre ha pasado todas las I.T.V a la primera tengo facturas oficiales de BMW 
De todo lo que se le ha hecho . Duerme siempre en garaje privado..no acepto ningún cambio... Próxima I.T.V Marzo 2027.."
https://www.coches.net/bmw-z4-gasolina-2012-en-pontevedra-60124745-covo.aspx,"Se vende tal cual está, EL MAS BARATO DE ESPÑA, IMPOLUTO, NO CAMBIOS!! vehiculo ingles con su documentacion para matricular (1000€ aprox) motor 6 cilindros de 204cv manual, sin oxidos ni accidentes, está impecable y se conduce como tal, 4 neumaticos yokohama nuevos"
https://www.coches.net/bmw-z4-gasolina-2005-en-sevilla-60831077-covo.aspx,"ITV recién pasada, motor impecable, revisión de aceite y filtros recién hecha. Pastillas de freno y neumáticos con pocos kms.

El coche duerme en garaje y se ha usado muy poco desde su compra, apariencia inmejorable.

Los pequeños defectos fruto de la antigüedad que pudiese tener se comunican sin problema a los interesados.

La Algaba (Sevilla)"
https://www.coches.net/bmw-z4-gasolina-2005-en-navarra-60673019-covo.aspx,"Listo para salir a disfrutar en carretera y ciudad! 
Excelente BMW Z4 e85 2.2 i Gasolina 170cv.
Cuenta con asientos eléctricos. La capota funciona perfecto. Aire acondicionado y calefacción. Llantas especiales. Dos llaves y una tercera de apertura. Elevalunas eléctrico, luces de cortesia al suelo. Se entrega con el Escape original + escape deportivo (se ve en una foto). ITV pasada hasta Agosto 2025
Se han cambiado los siguientes partes:
Aceites de motor y transmision
Amortiguadores capo
Espejos retrovisores
Tercer stop
Tanque de expansion
sensores de temperatura
Sonido Android táctil CarPlay/Andoid auto inalambrico

Detalles de lámina en ambos costados."
https://www.coches.net/bmw-z4-gasolina-2005-en-malaga-58996859-covo.aspx,"BMW Z4 2.2 Capota eléctrica en perfecto estado, cambiado el motor de la capota el año pasado. Asientos eléctricos con 3 posiciones de memoria. Control de estabilidad. Motor de 6 cilindros en línea, el mejor de la gama.  AA, cierre centralizado, tapicería de cuero. Pioneer con pantalla extraible. AVH-Z7200DAB. ITV y documentación al día. Batería nueva el 10/4/25."
https://www.coches.net/bmw-z4-gasolina-2004-en-jaen-60635587-covo.aspx,"Se vende BMW z4 e85. ITV hasta 2026. Revisiones mecánicas al día. Extra radio pioneer, se entrega también la original. Coche siempre guardado en garaje. Vehículo muy dinámico y divertido. Precio negociable. Mejor probar."
https://www.coches.net/bmw-z4-gasolina-2007-en-las_palmas-60475155-covo.aspx,Todas las itv pasadas
