name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3,4800.0,Gasolina,1997,286200,140,Cádiz,https://www.coches.net/bmw-z3-gasolina-1997-en-cadiz-59992924-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.8 ROADSTER,5000.0,Gasolina,2001,238000,118,Murcia,https://www.coches.net/bmw-z3-18-roadster-2p-gasolina-2001-en-murcia-60479602-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.9I,5500.0,Gasolina,1996,170000,140,Baleares,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-baleares-60367416-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I,5700.0,Gasolina,1996,193000,115,Baleares,https://www.coches.net/bmw-z3-18i-2p-gasolina-1996-en-baleares-59721777-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3,6200.0,Gasolina,1997,190000,142,Alicante,https://www.coches.net/bmw-z3-gasolina-1997-en-alicante-60444888-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,6300.0,Gasolina,1998,230000,140,Castellón,https://www.coches.net/bmw-z3-19i-2p-gasolina-1998-en-castellon-60610411-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,6700.0,Gasolina,1997,258000,140,Lugo,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-lugo-60672601-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 ROADSTER 1.8I,6750.0,Gasolina,1998,150000,115,Madrid,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-madrid-60022126-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.8i Roadster,6800.0,Gasolina,2000,132000,118,Almería,https://www.coches.net/bmw-z3-18i-roadster-2p-gasolina-2000-en-almeria-58520095-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3,6990.0,Gasolina,1997,194000,115,Madrid,https://www.coches.net/bmw-z3-gasolina-1997-en-madrid-59500840-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.8 ROADSTER,7499.0,Gasolina,2001,199993,118,Cádiz,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2001-en-cadiz-60818579-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.8I,7650.0,Gasolina,1997,101000,115,Tarragona,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-tarragona-60837308-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 ROADSTER 1.9I,7800.0,Gasolina,1998,260000,140,Vizcaya,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1998-en-vizcaya-60319492-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.9I,8500.0,Gasolina,1996,164000,140,Barcelona,https://www.coches.net/bmw-z3-19i-2p-gasolina-1996-en-barcelona-59752476-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I 2p.,8900.0,Gasolina,1998,84000,115,Madrid,https://www.coches.net/bmw-z3-18i-2p-gasolina-1998-en-madrid-55695646-covo.aspx,BMW,Z3,1.8,1.8 2P.
BMW Z3 1.8I,8999.0,Gasolina,1998,132288,115,Castellón,https://www.coches.net/bmw-z3-1.8i-2p-gasolina-1998-en-castellon-60271590-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3,9000.0,Gasolina,1996,236000,115,Lleida,https://www.coches.net/bmw-z3-gasolina-1996-en-lleida-60765291-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 ROADSTER 1.8I,9200.0,Gasolina,1998,217000,115,Alicante,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-alicante-60361689-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 1.9i Roadster,9500.0,Gasolina,2000,298000,118,Almería,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2000-en-almeria-60754408-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.9I,9900.0,Gasolina,1997,242771,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-madrid-59428263-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,9999.0,Gasolina,1997,108000,140,Murcia,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-murcia-60431638-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,10000.0,Gasolina,1997,197000,140,Alicante,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-alicante-60836849-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I,10000.0,Gasolina,1997,150000,115,Murcia,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-murcia-60643770-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 2.8 ROADSTER,10300.0,Gasolina,2001,187500,193,Las Palmas,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-2001-en-las_palmas-60430962-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
