name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z3 2.0 ROADSTER,12999.0,Gasolina,2000,84000,150,Alicante,https://www.coches.net/bmw-z3-20-roadster-2p-gasolina-2000-en-alicante-59690476-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 1.9I,13900.0,Gasolina,1996,110000,140,Valencia,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-valencia-60539782-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9i Roadster,12950.0,Gasolina,2001,100000,118,Madrid,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2002-en-madrid-60791834-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.8I,8999.0,Gasolina,1998,132288,115,Castellón,https://www.coches.net/bmw-z3-1.8i-2p-gasolina-1998-en-castellon-60271590-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 1.9I,10000.0,Gasolina,1997,197000,140,Alicante,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-alicante-60836849-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.8I,7650.0,Gasolina,1997,101000,115,Tarragona,https://www.coches.net/bmw-z3-18i-2p-gasolina-1997-en-tarragona-60837308-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3,5500.0,Gasolina,1997,197000,,Pontevedra,https://www.coches.net/bmw-z3-gasolina-1997-en-pontevedra-60825142-covo.aspx,BMW,Z3,No data,No data
BMW Z3 1.8 ROADSTER,7499.0,Gasolina,2001,199993,118,Cádiz,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2001-en-cadiz-60818579-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 ROADSTER 2.0,11900.0,Gasolina,1999,234000,150,Valencia,https://www.coches.net/bmw-z3-roadster-20-2p-gasolina-1999-en-valencia-60819085-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 2.0 ROADSTER,12500.0,Gasolina,1999,230000,150,Valencia,https://www.coches.net/bmw-z3-20-roadster-2p-gasolina-1999-en-valencia-60819598-covo.aspx,BMW,Z3,2.0,2.0 ROADSTER
BMW Z3 2.8 ROADSTER,17800.0,Gasolina,1998,126500,193,Barcelona,https://www.coches.net/bmw-z3-28-roadster-2p-gasolina-1998-en-barcelona-60047437-covo.aspx,BMW,Z3,2.8,2.8 ROADSTER
BMW Z3,13500.0,Gasolina,1998,125500,192,N/A,https://www.coches.net/bmw-z3-gasolina-1998-en-barcelona-60805668-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 3.0i Roadster,35995.0,Gasolina,2002,31000,231,Madrid,https://www.coches.net/bmw-z3-3.0i-roadster-2p-gasolina-2002-en-madrid-60357149-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3,5500.0,Gasolina,1999,145000,,Valladolid,https://www.coches.net/bmw-z3-gasolina-1999-en-valladolid-60793193-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.8,17500.0,Gasolina,1997,94000,192,Pontevedra,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-pontevedra-60792249-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3 2.8,16000.0,Gasolina,1997,136000,192,Las Palmas,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-las_palmas-60784997-covo.aspx,BMW,Z3,2.8,2.8
BMW Z3,17500.0,Gasolina,2000,103000,,Alicante,https://www.coches.net/bmw-z3-gasolina-2000-en-alicante-60779273-covo.aspx,BMW,Z3,No data,No data
BMW Z3 COUPE 2.8,21500.0,Gasolina,1999,165490,193,Cáceres,https://www.coches.net/bmw-z3-coupe-2.8-3p-gasolina-1999-en-caceres-60106556-covo.aspx,BMW,Z3,2.8,2.8 COUPE
BMW Z3 1.8I,5700.0,Gasolina,1996,193000,115,Baleares,https://www.coches.net/bmw-z3-18i-2p-gasolina-1996-en-baleares-59721777-covo.aspx,BMW,Z3,1.8,1.8
BMW Z3 M Roadster,49990.0,Gasolina,2002,139000,325,Valencia,https://www.coches.net/bmw-z3-m-roadster-2p-gasolina-2002-en-valencia-59467909-covo.aspx,BMW,Z3,No data,ROADSTER
BMW Z3,9000.0,Gasolina,1996,236000,115,Lleida,https://www.coches.net/bmw-z3-gasolina-1996-en-lleida-60765291-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 3.0i Roadster,17950.0,Gasolina,2000,366666,231,Badajoz,https://www.coches.net/bmw-z3-30i-roadster-2p-gasolina-2000-en-badajoz-60063850-covo.aspx,BMW,Z3,3.0,3.0 ROADSTER
BMW Z3 1.9i Roadster,9500.0,Gasolina,2000,298000,118,Almería,https://www.coches.net/bmw-z3-19i-roadster-2p-gasolina-2000-en-almeria-60754408-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3,8650.0,Gasolina,1997,115000,,Granada,https://www.coches.net/bmw-z3-gasolina-1997-en-granada-60806126-covo.aspx,BMW,Z3,No data,No data
BMW Z3,8500.0,Gasolina,2000,136500,,Córdoba,https://www.coches.net/bmw-z3-gasolina-2000-en-cordoba-60755464-covo.aspx,BMW,Z3,No data,No data
BMW Z3 M 3.2,36600.0,Gasolina,1998,105000,321,Madrid,https://www.coches.net/bmw-z3-m-32-2p-gasolina-1998-en-madrid-59369301-covo.aspx,BMW,Z3,3.2,3.2
BMW Z3,11500.0,Gasolina,1998,151000,,Segovia,https://www.coches.net/bmw-z3-gasolina-1998-en-segovia-60748814-covo.aspx,BMW,Z3,No data,ROADSTER
BMW Z3,7000.0,Gasolina,2003,170000,,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60722651-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 ROADSTER 1.8I,9200.0,Gasolina,1998,217000,115,Alicante,https://www.coches.net/bmw-z3-roadster-18i-2p-gasolina-1998-en-alicante-60361689-covo.aspx,BMW,Z3,1.8,1.8 ROADSTER
BMW Z3 ROADSTER 1.9I,11900.0,Gasolina,1999,152000,140,A Coruña,https://www.coches.net/bmw-z3-roadster-19i-2p-gasolina-1999-en-a-coruna-60661925-covo.aspx,BMW,Z3,1.9,1.9 ROADSTER
BMW Z3 1.9I,9900.0,Gasolina,1997,242771,140,Madrid,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-madrid-59428263-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 1.9I,13900.0,Gasolina,1997,70000,140,Málaga,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-malaga-59335975-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3 M Coupe,79990.0,Gasolina,2002,67000,325,Las Palmas,https://www.coches.net/bmw-z3-m-coupe-2p-gasolina-2002-en-las-palmas-60243576-covo.aspx,BMW,Z3,No data,COUPE
BMW Z3 1.9I,6700.0,Gasolina,1997,258000,140,Lugo,https://www.coches.net/bmw-z3-19i-2p-gasolina-1997-en-lugo-60672601-covo.aspx,BMW,Z3,1.9,1.9
BMW Z3,11500.0,Gasolina,2003,200000,,Las Palmas,https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60609104-covo.aspx,BMW,Z3,No data,No data
BMW Z3 2.8,11000.0,Gasolina,1997,148000,192,Madrid,https://www.coches.net/bmw-z3-28-2p-gasolina-1997-en-madrid-60653291-covo.aspx,BMW,Z3,2.8,2.8
