url,description
https://www.coches.net/bmw-z3-gasolina-1997-en-pontevedra-60825142-covo.aspx,"Se vende o se cambia bmw z3 en muy buen estado 
Funcionando perfectamente 
Sin golpes
Pintura original 
Se entrega con itv recién pasada 
Escucho cambios... bmw...moto... barco...moto de agua...rally...quad..coche..."
https://www.coches.net/bmw-z3-gasolina-1998-en-barcelona-60805668-covo.aspx,"BMW z3 .2.8 192cv, automático ITV recién pasada ,de mecánica más de 3000€ en dejarlo perfecto ,neumáticos discos pastillas catalizador etccc todo con sus facturas etiqueta B. año 1998 matriculado en España 2003 perfecto kit culo gordo ,Porsche Cayenne,boxster,abarth,z3 coupe"
https://www.coches.net/bmw-z3-gasolina-1999-en-valladolid-60793193-covo.aspx,"Vehículo en buen estado a pesar de sus años, el coche lleva parado sus últimos cinco años, siempre se ha estado haciendo sus mantenimientos y sus debido tiempo, lo vendo porque me está ocupando la plaza de garaje que necesito, al coche habría que hacerle alguna cosa pero sin importancia"
https://www.coches.net/bmw-z3-gasolina-2000-en-alicante-60779273-covo.aspx,Right Hand Drive. Volante a la derecha. Capota nueva. Revisiones al día. Vendo por que la familia ha aumentado.
https://www.coches.net/bmw-z3-gasolina-1996-en-lleida-60765291-covo.aspx,"Bmw z3 cabrio del 96
*Un gran clásico del mundo de los cabrios.
*Coche con valor a la alza.
*Motor 1.8 gasolina 115cv atmosférico 
*Motor eterno
*Capota cambiada y original!!!
*Recien pintado y pulido (completo)
*Aceites y filtros recien cambiados
*Filtro de aire KYN
*Itv hasta 2026
*Neumáticos pirelli nuevos
* bujías nuevas (Bosch)

Coche de capricho, no negociable 
No hay que hacerle nada. Listo para disfrutar del verano."
https://www.coches.net/bmw-z3-gasolina-1997-en-granada-60806126-covo.aspx,Perfecto estado por fuera y por dentro
https://www.coches.net/bmw-z3-gasolina-2000-en-cordoba-60755464-covo.aspx,"En perfecto estado, en córdoba,capota eléctrica,asientos eléctricos con calefacción, aire acondicionado . precio recomendado 10600 a convenir."
https://www.coches.net/bmw-z3-gasolina-1998-en-segovia-60748814-covo.aspx,"Mmw z3 cabrio tiene 2 capotas la de lona y el Hard top metálico del color de la carrocería para invierno.
El coche está impecable y a toda prueba"
https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60722651-covo.aspx,BMW z3 1.9 roadster. Nacional. Mejor ver. Lanzarote.
https://www.coches.net/bmw-z3-gasolina-2003-en-las_palmas-60609104-covo.aspx,"ITV Reciente , perfecto estado ."
https://www.coches.net/bmw-z3-gasolina-1996-en-alicante-60568195-covo.aspx,"BMW Z3 de capricho, revisado a fondo (tengo factura) y guardado y cuidado en garaje. Neumáticos nuevos, HI-FI nuevo. Abierto a ofertas razonables o cambio coche de mi interés (mejor clásico)."
https://www.coches.net/bmw-z3-gasolina-2003-en-malaga-60301051-covo.aspx,"ITV pasada, bien cuidado."
https://www.coches.net/bmw-z3-gasolina-1997-en-madrid-59500840-covo.aspx,"BMW Z3 1.8 Roadster (115 CV) – Capota nueva 
 • Motor 1.8 gasolina, 115 CV
 • Color verde original
 • Asientos deportivos de cuero negro eléctricos
 • Capota beige nueva (recién instalada)
 • 4 amortiguadores nuevos
 • Pastillas de freno delanteras nuevas
 • Escape completo nuevo
 • Pintura recién renovada 
 • Llantas BMW 17” estilo “Style” originales
 • ITV recién pasada
 • No equipado con aire acondicionado (modelo europeo más ligero)

El BMW Z3 es uno de los roadsters más icónicos de los años 90, conocido por su diseño atemporal, su conducción ágil y su fiabilidad.

Este modelo 1.8 ofrece un equilibrio perfecto entre diversión, mantenimiento sencillo y bajo consumo, ideal tanto para uso diario como para colección.

Acepto cambios por:
 • Range Rover
 • Porsche Cayenne
 • Mercedes ML
 • BMW X5
 • Mercedes Clase S / SL R129 / CL / AL / AMG
 • Audi S3, A8, Serie 7, etc.

Para cambios se valora en 9.000 €.

Mejor ver en persona."
https://www.coches.net/bmw-z3-gasolina-1998-en-alicante-59762548-covo.aspx,"Vendo z3 , originalmente es un 1.8 pero lleva un swap a 2.8 de bmw e46, separadores ,suspensión roscada y frenada de 330 diésel  todo HOMOLOGADO, 
Cambiaria por todoterreno 4x4"
https://www.coches.net/bmw-z3-gasolina-1998-en-alicante-60220308-covo.aspx,"bmw z3 del 98 es el 1.9 de 140cv con todos sus mantenimientos al dia y recien revisado para su venta , es una maravilla de coche que su precio no hace mas que subir. tiene algunos detalles por el paso del tiempo (paso fotos al detalle para que ni hayan sorpresas ) cualquier duda i consulta no duden en hablarme"
https://www.coches.net/bmw-z3-gasolina-1996-en-granada-60488729-covo.aspx,"Vendo bonito Z3 con ITV al corriente. Está en buen estado. Amortiguadores Bilstein, embrague nuevo. Asientos ajustables eléctricamente y calefactados. No tiene aire acondicionado. Guardado en garaje.
Tiene algunas rozaduras y la capota necesita un arreglo. El precio es negociable."
https://www.coches.net/bmw-z3-gasolina-1997-en-malaga-60223510-covo.aspx,"Precioso z3 con casi 80.000 km , interior como nuevo,  en 2 años se puede hacer histórico. 
Se entrega con revisión hecha.
Tiene libro de mantenimiento y facturas. 
Capota nueva
Amortiguadores, etc.
Control de velocidad 
Aire acondicionado 
Elevalunas eléctricos 
Es una maravilla en muy buen estado , lo cojo todos los fines de semana para que no esté parado,  duerme en garaje y con funda
Consumo de gasolina ,casi 7l/100"
https://www.coches.net/bmw-z3-gasolina-2000-en-vizcaya-60316336-covo.aspx,"BMW Z3 Roadster de 6 cilindros, Gasolina cambio manual (año de primera
matriculación 2000), con solo 140.000 km, duerme en garaje con funda y
mantenido al detalle. Perfecto estado, motor mecánica carrocería.
ITV válida hasta abril 2026, ultima revisión de mantenimiento Julio de 2024


Extras destacados:

Capota eléctrica con cubrecapota
Aire acondicionado
Radio CD original BMW + Parrot
Asientos calefactables en piel, eléctricos
ABS
Dirección asistida
Elevalunas eléctricos
Airbags
Cierre centralizado.
Fundas exterior e interior a medida.
Cortavientos asientos traseros.
Alarma
Paquete M
Llantas con neumáticos nuevos Julio 2024
Antinieblas


Estado general: Perfecto estado de motor, carrocería y mecánica.
Cuidado como clásico.
Precio: 12.000 €
Ubicación: Galdakao 48960 (Bizkaia)


Forma de contacto:  / Correo:"
https://www.coches.net/bmw-z3-gasolina-1999-en-valencia-60212131-covo.aspx,"Se vende BMW Z3 2.0 del año 1999, un clásico roadster en excelente estado. Cuenta con un motor 2.0 litros de 6 cilindros que entrega 150 CV, acoplado a una transmisión manual que ofrece una conducción deportiva y precisa. Tiene 234.000 km, pero siempre ha sido guardado en garaje y con un mantenimiento al día. Está en muy buen estado, reflejando el cuidado que ha recibido a lo largo de los años."
https://www.coches.net/bmw-z3-gasolina-2001-en-sta_c_tenerife-60495788-covo.aspx,"BMW Z3, 2.2 6 cilindros 170 CV
 Revisión al día, neumáticos nuevos de 3.000 km. Suspensión reciben cambiada, cuero negro, asientos eléctricos, calefacción en los asientos. Llantas 18 pulgadas homologadas. Se incluye techo roof top. Siempre en garaje. Puesta a punto de motor realizada recientemente."
https://www.coches.net/bmw-z3-gasolina-1999-en-almeria-59492126-covo.aspx,"Motor 2000 CC y 6 cilindros. En perfecto estado. muy cuidado. ITV hasta 14/11/2025. Capota eléctrica, asientos de piel eléctricos calefactados, espejos eléctricos, cierre centralizado, aire acondicionado, etc... Suspensiones cambiadas, ruedas delanteras nuevas y traseras al 60%, etc. vehículo adquiriendo valor cada día."
https://www.coches.net/bmw-z3-gasolina-1997-en-baleares-60434629-covo.aspx,"BMW Z3 Cabrio Roadster 1.9 con aireacondicionado, techo electrónico, tapizeria de cuero, asientos electricos,  elevalunas electricos,  pasar ITV primera vez sin fallos, revision en reglar,  listo para disfrutar en verano,  pronto un clasico, muy bien estado, tengo todos los libros y los llaves del coche"
https://www.coches.net/bmw-z3-gasolina-1996-en-cadiz-60343152-covo.aspx,"BMW Z3 Roadster 1.8 – 1996 – 155.000 km

Se vende BMW Z3 en muy buen estado. Motor 1.8, económico y fiable. Año 1996, con sólo 155.000 km. Capota de lona.

Asientos calefactables, calefaccion y aire acondicionado, elevalunas eléctricos y radio con usb. 

Clásico deportivo, ideal para disfrutar del buen tiempo. Conducirlo es una experiencia única. Una sensación en la carretera inigualable.


Se encuentra en Setenil de las Bodegas, Cádiz."
https://www.coches.net/bmw-z3-gasolina-1999-en-barcelona-60531136-covo.aspx,"Vehículo de origen , ha tenido 2 propietarios , paquete M , llantas 16 pulgadas , solo 128.000km reales , siempre en parking particular y tapado con lona . Solo contactar interesados el precio es negociable"
https://www.coches.net/bmw-z3-gasolina-1997-en-alicante-60444888-covo.aspx,"es el 1.9 16v con 142cv nueva junta culatta,distribution,bomba de agua,radiador,taques hidraulicos,filtros y liquidos,escape completo incluido katalysator.discos de freno y pastillas y lateguillos.
la optica necesito mano,tapizar asiento,golpe en una puerta,y mas detailles.coche esta listo para rodar sin problemas.se vende por falta de uso.capota y techo rigido.itv al dia.se puede ver en ondara."
https://www.coches.net/bmw-z3-gasolina-1997-en-cadiz-59992924-covo.aspx,"OPORTUNIDAD AUTÉNTICO ROADSTER!! 

BMW Z3 1.9i 140cv (1ª Ver) Todo en estado original excepto la nueva radio MP3.

Vehículo está en muy buena conservación, siempre en garaje. Lo único que tiene una fisura en el plástico del cristal de lona de unos 7cm y suelta  unas 2 gotas al día de aceite, pero nada significativo ya que supone unos 30-40 mililitros de pérdida al año.

Diseño espectacular, gran experiencia de conducción, sonido deportivo, mecánica fantástica y mantenimiento básico. 

Consumo medio real (Hecho por mí) con cuestas 8,1l/100.

NEUMÁTICOS DELANTEROS: 205/55 R16 92W
NEUMÁTICOS TRASEROS: 225/50 R16 92W

Cambio automático con modo normal y deportivo, y 3 velocidades manuales.

En 2 años se podrá matricular como vehículo histórico si se quiere.

** ITV HASTA JUNIO 2026
Solo acepto dinero. Precio no negociable y transferencia por parte del comprador.
Vendo porque amplio familia y me he comprado un familiar."
